정부,대통령,명칭,이름,임기시작,임기종료,링크
제1공화국,이승만,내무부 장관,이근직,1957년 9월 26일,1958년 6월 17일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EA%B7%BC%EC%A7%81_
제1공화국,이승만,내무부 장관,민병기,1958년 6월 17일,1958년 8월 27일,https://ko.wikipedia.org/wiki/%EB%AF%BC%EB%B3%91%EA%B8%B0
제1공화국,이승만,내무부 장관,김일환,1958년 8월 27일,1959년 3월 20일,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%9D%BC%ED%99%98_
제1공화국,이승만,내무부 장관,최인규,1959년 3월 20일,1960년 3월 23일,https://ko.wikipedia.org/wiki/%EC%B5%9C%EC%9D%B8%EA%B7%9C_
제1공화국,이승만,내무부 장관,홍진기,1960년 3월 23일,1960년 4월 24일,https://ko.wikipedia.org/wiki/%ED%99%8D%EC%A7%84%EA%B8%B0
제1공화국,이승만,내무부 장관,이호,1960년 4월 25일,1960년 8월 19일,https://ko.wikipedia.org/wiki/%EC%9D%B4%ED%98%B8_
제1공화국,이승만,재무부 장관,김도연,1948년 8월 2일,1950년 4월 22일,https://ko.wikipedia.org/wiki/%EA%B9%80%EB%8F%84%EC%97%B0_
제1공화국,이승만,재무부 장관,최순주,1950년 4월 25일,1951년 3월 5일,https://ko.wikipedia.org/wiki/%EC%B5%9C%EC%88%9C%EC%A3%BC
제1공화국,이승만,재무부 장관,백두진,1951년 3월 5일,1953년 9월 9일,https://ko.wikipedia.org/wiki/%EB%B0%B1%EB%91%90%EC%A7%84
제1공화국,이승만,재무부 장관,박희현,1953년 9월 9일,1954년 6월 30일,https://ko.wikipedia.org/wiki/%EB%B0%95%ED%9D%AC%ED%98%84
제1공화국,이승만,재무부 장관,이중재,1954년 6월 30일,1955년 7월 11일,https://ko.wikipedia.org/w/index.php?title=%EC%9D%B4%EC%A4%91%EC%9E%AC_&action=edit&redlink=1
제1공화국,이승만,재무부 장관,김현철,1955년 7월 11일,1956년 5월 26일,https://ko.wikipedia.org/wiki/%EA%B9%80%ED%98%84%EC%B2%A0_
제1공화국,이승만,재무부 장관,인태식,1956년 5월 26일,1957년 6월 9일,https://ko.wikipedia.org/wiki/%EC%9D%B8%ED%83%9C%EC%8B%9D
제1공화국,이승만,재무부 장관,김현철,1957년 6월 9일,1959년 3월 20일,https://ko.wikipedia.org/wiki/%EA%B9%80%ED%98%84%EC%B2%A0_
제1공화국,이승만,재무부 장관,송인상,1959년 3월 20일,1960년 4월 28일,https://ko.wikipedia.org/w/index.php?title=%EC%86%A1%EC%9D%B8%EC%83%81&action=edit&redlink=1
제1공화국,이승만,재무부 장관,윤호병,1960년 4월 28일,1960년 8월 19일,https://ko.wikipedia.org/w/index.php?title=%EC%9C%A4%ED%98%B8%EB%B3%91&action=edit&redlink=1
제1공화국,이승만,법무부 장관,이인,1948년 8월 2일,1949년 6월 5일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9D%B8
제1공화국,이승만,법무부 장관,권승렬,1949년 6월 6일,1950년 5월 21일,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%8A%B9%EB%A0%AC
제1공화국,이승만,법무부 장관,이우익,1950년 5월 22일,1950년 11월 22일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EC%9A%B0%EC%9D%B5
제1공화국,이승만,법무부 장관,김준연,1950년 11월 23일,1951년 5월 6일,https://ko.wikipedia.org/wiki/%EA%B9%80%EC%A4%80%EC%97%B0
제1공화국,이승만,법무부 장관,조진만,1951년 5월 7일,1952년 3월 4일,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%A7%84%EB%A7%8C_
제1공화국,이승만,법무부 장관,서상환,1952년 3월 5일,1954년 6월 29일,https://ko.wikipedia.org/wiki/%EC%84%9C%EC%83%81%ED%99%98_
제1공화국,이승만,법무부 장관,조용순,1954년 6월 30일,1955년 9월 15일,https://ko.wikipedia.org/wiki/%EC%A1%B0%EC%9A%A9%EC%88%9C
제1공화국,이승만,법무부 장관,이호,1955년 9월 16일,1958년 2월 19일,https://ko.wikipedia.org/wiki/%EC%9D%B4%ED%98%B8_
제1공화국,이승만,법무부 장관,홍진기,1958년 2월 20일,1960년 3월 23일,https://ko.wikipedia.org/wiki/%ED%99%8D%EC%A7%84%EA%B8%B0
제1공화국,이승만,법무부 장관,권승렬,1960년 4월 25일,1960년 8월 19일,https://ko.wikipedia.org/wiki/%EA%B6%8C%EC%8A%B9%EB%A0%AC
제1공화국,이승만,국방부 장관,이범석,1948년 8월 15일,1949년 3월 20일,https://ko.wikipedia.org/wiki/%EC%9D%B4%EB%B2%94%EC%84%9D_
제1공화국,이승만,국방부 장관,신성모,1949년 3월 20일,1951년 5월 5일,https://ko.wikipedia.org/wiki/%EC%8B%A0%EC%84%B1%EB%AA%A8
